"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.555070958e0,9.947156161e-2,-2.681803107e-1,8.569668978e-2,2.985953671e-1
1.565103958e0,2.975989878e-2,-1.970659643e-1,9.002296627e-2,2.186887750e-1
1.575135958e0,-4.896553978e-2,-2.466987669e-1,4.398889095e-2,2.553290587e-1
1.585168958e0,-1.160445809e-1,-2.597279549e-1,1.231490821e-2,2.847395516e-1
1.595201958e0,-1.650864333e-1,-2.802590430e-1,-1.200507861e-2,3.254885306e-1
1.605234958e0,-1.835556626e-1,-3.617806435e-1,-7.082282752e-2,4.118176637e-1
1.615267958e0,-1.666885316e-1,-3.753249347e-1,-1.301593930e-1,4.308077771e-1
1.625300958e0,-1.095805466e-1,-3.433950245e-1,-1.970725060e-1,4.108109196e-1
1.635333958e0,-3.791967407e-2,-2.579552233e-1,-2.522929013e-1,3.628091881e-1
1.645365958e0,1.532877330e-2,-1.465690508e-2,-1.659764349e-1,1.673259487e-1
1.655398958e0,4.988994822e-2,1.168944612e-1,-3.043969162e-3,1.271321664e-1
1.665431958e0,8.318113536e-2,-1.484783739e-2,1.107610762e-1,1.393110748e-1
1.675464958e0,1.220371872e-1,-2.349631637e-1,1.643947363e-1,3.116510752e-1
1.685497958e0,1.671915948e-1,-3.731971681e-1,1.700959951e-1,4.429015728e-1
1.695530958e0,2.011397034e-1,-3.862216175e-1,1.303914487e-1,4.545615998e-1
1.705563958e0,2.179787755e-1,-3.175525069e-1,-2.025952563e-3,3.851732671e-1
1.715595958e0,2.229477018e-1,-1.721772105e-1,-8.839918673e-2,2.952373380e-1
1.725628958e0,2.047847509e-1,-3.006334975e-2,-8.702331781e-2,2.245298578e-1
1.735661958e0,1.631696671e-1,5.659244955e-2,-4.392751306e-2,1.782040180e-1
1.745694958e0,1.027066186e-1,8.900655061e-2,2.349225804e-3,1.359276808e-1
1.755727958e0,2.433378436e-2,5.199259892e-2,3.721373156e-2,6.841217158e-2
1.765760958e0,-8.293593675e-2,-3.535311297e-2,5.730530992e-2,1.068274812e-1
1.775793958e0,-2.128726393e-1,-1.642242819e-1,6.695207953e-2,2.770685047e-1
1.785825958e0,-3.448418677e-1,-2.699801028e-1,7.557310164e-2,4.444282431e-1
1.795858958e0,-4.609029591e-1,-2.696272433e-1,8.930942416e-2,5.413931670e-1
1.805891958e0,-5.700007081e-1,-2.281724364e-1,1.027210504e-1,6.225070940e-1
1.815924958e0,-6.705867052e-1,-2.030971795e-1,1.375991404e-1,7.140507804e-1
1.825957958e0,-7.580167651e-1,-1.880816519e-1,2.061824352e-1,8.077594447e-1
1.835990958e0,-8.233475685e-1,-2.462365627e-1,2.684159875e-1,9.003226120e-1
1.846023958e0,-8.712295890e-1,-4.040163159e-1,3.180756867e-1,1.011653262e0
1.856056958e0,-8.960382938e-1,-5.133199692e-1,3.654130995e-1,1.095403464e0
1.866088958e0,-8.953912854e-1,-4.979547262e-1,4.143847525e-1,1.105169302e0
1.876121958e0,-8.607291579e-1,-4.281034768e-1,4.216767550e-1,1.049732612e0
1.886154958e0,-7.952048182e-1,-3.405742347e-1,3.882133961e-1,9.481830800e-1
1.896187750e0,-7.092930675e-1,-2.743334472e-1,3.034636378e-1,8.188074714e-1
1.906220750e0,-6.270456314e-1,-2.485661805e-1,2.101853192e-1,7.065049457e-1
1.916253750e0,-5.648315549e-1,-2.427844554e-1,1.491264999e-1,6.326276078e-1
1.926285750e0,-5.439026952e-1,-2.795981169e-1,1.463664919e-1,6.288309779e-1
1.936318750e0,-5.680706501e-1,-2.712315321e-1,2.191815823e-1,6.665668560e-1
1.946351750e0,-6.244286299e-1,-1.455634236e-1,3.296215832e-1,7.209370376e-1
1.956384750e0,-7.105419040e-1,6.009838730e-2,3.974629641e-1,8.163690472e-1
1.966417750e0,-8.336131573e-1,3.320076168e-1,3.717587888e-1,9.712592603e-1
1.976450750e0,-9.760142565e-1,5.655330420e-1,2.934069932e-1,1.165555281e0
1.986483750e0,-1.136276245e0,6.460126042e-1,2.085802108e-1,1.323616899e0
1.996515750e0,-1.307543874e0,5.545423627e-1,1.476358920e-1,1.427930170e0
2.006548750e0,-1.480925798e0,3.684893250e-1,1.219251528e-1,1.530944593e0
2.016581750e0,-1.627154350e0,2.258562744e-1,1.010563597e-1,1.645859874e0
2.026614750e0,-1.743312120e0,1.439210027e-1,6.967852265e-2,1.750630030e0
2.036647750e0,-1.849660873e0,1.458864063e-1,4.714364558e-2,1.856003964e0
2.046680750e0,-1.947230220e0,3.021064401e-1,1.903624646e-2,1.970618230e0
2.056713750e0,-2.040566683e0,4.317872226e-1,-4.119034111e-2,2.086156571e0
2.066745750e0,-2.104104042e0,4.128950536e-1,-1.007881314e-1,2.146600660e0
2.076778750e0,-2.108759403e0,2.998188138e-1,-1.350241303e-1,2.134242034e0
2.086811750e0,-2.026764393e0,1.566360295e-1,-1.887861043e-1,2.041555520e0
2.096844750e0,-1.863407373e0,6.032786891e-2,-2.728948593e-1,1.884250009e0
2.106877750e0,-1.627209187e0,4.590486363e-2,-3.420552015e-1,1.663405770e0
2.116910750e0,-1.358630419e0,1.047721729e-1,-3.216548562e-1,1.400112735e0
2.126943750e0,-1.098404765e0,2.065007389e-1,-1.979892403e-1,1.135048599e0
2.136975750e0,-8.627421260e-1,2.581937611e-1,-3.101808764e-2,9.010827465e-1
2.147008750e0,-6.619716883e-1,1.505444646e-1,1.125189513e-1,6.881356453e-1
2.157041750e0,-4.680538774e-1,-9.819345921e-2,1.899271905e-1,5.145762579e-1
2.167074750e0,-2.429786325e-1,-4.587925971e-1,1.909600943e-1,5.531681666e-1
